year_month	tweet_count	tweet_count_proportion
2023-03	4034772	0.0748387398335982
2023-04	2709834	0.05026320241100086
2023-02	2486638	0.046123264051187766
2023-01	2152862	0.0399322388267887
2022-12	1784378	0.033097434230929604
2022-11	1725390	0.032003298655163666
2022-10	1531837	0.028413191801291267
2022-09	1288419	0.023898166820247778
2022-08	1130354	0.020966307123640955
2022-07	1005983	0.018659418676946957
2022-06	975655	0.01809688148731806
2022-05	941299	0.017459631167913863
2022-03	871884	0.016172090973437147
2022-04	860906	0.015968466162445783
2022-02	739466	0.013715943203182616
2022-01	719122	0.013338593671864683
2021-12	642376	0.01191507483925919
2021-11	638078	0.011835353629781975
2021-10	624309	0.011579960113427441
2021-09	574063	0.010647975029343637
2021-08	533498	0.009895557425238644
2021-03	512281	0.009502015102884506
2021-07	505021	0.009367353404232902
2021-05	492121	0.009128078485141213
2020-10	488780	0.0090661081359408
2021-06	487978	0.009051232284381766
2021-04	484041	0.008978207062950449
2021-01	480003	0.008903308448741747
2020-11	473311	0.008779182265907516
2021-02	456076	0.008459499844935013
2020-12	438782	0.008138723065805426
2020-09	429651	0.007969357229663857
2020-03	410550	0.007615063413418092
2020-04	410065	0.007606067418397979
2020-05	405774	0.007526476048024145
2020-07	404866	0.007509634061471025
2020-08	402454	0.007464895216133881
2020-06	389158	0.007218275113479377
2020-01	325656	0.006040411864474686
2019-10	322968	0.00599055364877558
2020-02	322457	0.005981075394228615
2019-03	314759	0.0058382894773938996
2019-11	311122	0.005770828788964715
2019-12	303685	0.005632884015841854
2019-04	300128	0.005566907202879906
2019-05	299163	0.00554900795505638
2019-09	297003	0.005508943317441027
2018-10	296088	0.005491971491784524
2019-01	285723	0.005299716876560851
2019-08	284656	0.0052799256875166005
2019-07	284244	0.005272283728860339
2018-11	280355	0.005200148832709364
2019-06	276729	0.0051328921771569246
2019-02	276601	0.005130517976409348
2018-03	275152	0.005103641282009049
2018-05	264171	0.004899960825687665
2018-09	264000	0.00489678904187645
2018-06	260377	0.004829588031654031
2018-07	259561	0.004814452501888232
2018-08	259153	0.004806884737005332
2018-12	258763	0.0047996508441025595
2018-04	256694	0.004761274114831187
2017-10	255195	0.004733469998263865
2017-03	252077	0.00467563595192837
2017-11	251746	0.004669496417182685
2018-01	250109	0.004639132615434382
2017-05	247818	0.004596638131741432
2017-06	241685	0.0044828805287345065
2017-09	241425	0.004478057933465992
2018-02	240250	0.0044562635125409734
2017-08	236419	0.004385204426103744
2016-10	236087	0.004379046342914718
2017-07	234860	0.004356287402935996
2017-04	232266	0.0043081727409108915
2016-11	224283	0.004160100517724151
2016-09	222250	0.004122391532413033
2017-02	221822	0.004114452798663325
2017-01	221677	0.0041117632743789614
2017-12	221240	0.004103657604639189
2016-08	212455	0.003940709529893414
2016-06	209871	0.0038927803523017136
2016-05	207371	0.003846409243950611
2016-03	207299	0.003845073756030099
2016-12	203931	0.003782602598859493
2016-04	203682	0.0037779840364677237
2016-07	202696	0.0037596952713340485
2016-02	190232	0.003528507473538791
2015-10	186381	0.003457077418234752
2015-11	177933	0.003300380168894706
2015-09	176976	0.0032826293086179034
2016-01	176145	0.003267215552201997
2015-08	173324	0.0032148903935386125
2015-07	173123	0.003211162156427184
2015-06	169389	0.003141902268993977
2015-03	167942	0.0031150626714803588
2015-04	166273	0.0030841053195451626
2015-12	166193	0.003082621444077927
2015-05	165391	0.0030677455925188935
2014-10	147548	0.002736785717995403
2015-02	142352	0.002640408006398471
2015-01	141414	0.002623009566545137
2014-11	138053	0.0025606682484779148
2014-09	134213	0.002489442226050621
2014-12	133679	0.0024795373573068256
2014-06	132379	0.002455424380964252
2014-05	131692	0.002442681600389369
2014-07	130914	0.0024282509114705057
2014-03	128027	0.0023747015555466524
2014-04	127411	0.0023632757144489407
2014-08	124719	0.002313343304976473
2014-01	117181	0.0021735251390762283
2014-02	114983	0.0021327556606139386
2013-10	109106	0.0020237464591021663
2013-11	107301	0.00199026651887267
2013-05	103072	0.0019118251519859447
2013-12	101875	0.0018896226653074368
2013-04	101175	0.001876638754969128
2013-09	100311	0.0018606128999229868
2013-08	99218	0.0018403394513518848
2013-06	96797	0.001795433670024677
2013-03	95870	0.001778239263048088
2013-07	93016	0.0017253020057544691
2013-02	86531	0.0016050153506917085
2013-01	84227	0.0015622797372353322
2012-11	79272	0.0014703722004834466
2012-10	79045	0.0014661617038451665
2012-12	74172	0.001375775139447197
2012-08	71695	0.0013298306452929245
2012-09	70113	0.0013004870079283467
2012-07	66536	0.001234139226099589
2012-06	66364	0.0012309488938450329
2012-05	63237	0.0011729479115194735
2012-03	62199	0.0011536946273320958
2012-04	58158	0.0010787403677933734
2012-02	56549	0.0010488959224586036
2012-01	53417	0.000990802197916342
